MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21606046,1170000,85755,-110.993229,32.470398,1.03,16845.2,2008,4,5,4795,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Concrete",194
21706027,1150000,85718,-110.884654,32.303578,3,8833.51,1977,5,5,4241,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Ceramic Tile, Mexican Tile, Wood",12
21200144,1034000,85718,-110.941977,32.338045,0.91,11238.75,2003,4,4,4019,3,"Dishwasher, Refrigerator, Microwave, Oven",2,"Carpet, Other",158
21207454,1100000,85750,-110.861293,32.326569,0.54,3646,2011,5,5,4877,3,"Dishwasher, Garbage Disposal, Oven",3,"Carpet, Ceramic Tile",40
21700839,1125000,85718,-110.903362,32.32123,0.73,13044.4,1995,4,6,6436,4,"Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Appliance Color: Black, Countertops: Tile",4,"Carpet, Concrete, Natural Stone, Wood",127
21723267,1164000,85742,-111.025072,32.392248,2.96,8184.96,1995,5,6,5783,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Indoor Grill, Island, Lazy Susan, Pantry: Closet, Prep Sink, Refrigerator, Warming Drawer, Water Purifier, Appliance Color: Stainless, Countertops: granite",3,"Carpet, Natural Stone",None
21715698,1130000,85658,-111.058803,32.456936,1.23,15604,2009,3,5,4595,3,"Desk, Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Indoor Grill, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Appliance Color: Stainless",1,"Carpet, Natural Stone",148
21831610,1200000,85755,-110.961291,32.471061,1.21,11371,2006,4,5,3885,3,"Dishwasher, Double Sink, Freezer, Gas Range, Island, Pantry: Walk-In, Prep Sink, Reverse Osmosis, Warming Drawer, Water Purifier, Wet Bar, Appliance Color: Stainless, Countertops: Granite",3,"Wood, Other: Lime Stone",209
21833355,1099000,85658,-111.064375,32.464467,0.93,14935.13,2007,4,4,4049,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: Granite, Microwave: Under counter, Oven: Wall oven",4,"Carpet, Natural Stone",148
21908951,1149000,85704,-110.977512,32.328238,1.57,14370.7,1969,6,8,5877,6,"Compactor, Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Butler, Refrigerator",5,"Carpet, Ceramic Tile",None
21826646,1100000,85750,-110.852358,32.323689,0.36,9268,1999,3,3,3041,2.5,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Cabinet, Refrigerator, Water Purifier, Wet Bar, Appliance Color: Black, Countertops: Granite, Microwave: Microwave, Oven: Oven",3,"Carpet, Natural Stone",107
21828398,1120000,85718,-110.944878,32.348562,1.24,12410,2006,4,4,4188,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Refrigerator, Microwave: Yes, Oven: Yes",3,"Carpet, Ceramic Tile",None
21625779,1050000,85718,-110.940565,32.343649,0.99,11441.68,2000,3,3,3829,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",169
21417057,1100000,85718,-110.931907,32.34593,1.56,10627.56,2010,5,5,4852,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Ceramic Tile, Natural Stone",84
21500272,1150000,85750,-110.858378,32.33258,1.09,10444.34,1994,4,4,5559,4,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Mexican Tile, Wood",219
21426116,1195000,85748,-110.743676,32.229771,3.3,8371.84,1998,4,7,5547,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Other",45
21520349,1050000,85742,-111.02733,32.399434,3.29,14276.69,2008,5,6,5469,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",0
21430136,1050000,85658,-111.06979,32.459265,1.13,15245,2008,4,4,4320,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Wood, Other",143
21608610,1155000,85750,-110.821623,32.281014,1.01,9113.7,2008,4,4,3953,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,Natural Stone,125
21600197,1155000,85718,-110.94253,32.348582,1.05,13197.84,2005,3,3,4385,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone",157
21605940,1150000,85718,-110.937298,32.348404,0.81,10908.02,2007,5,5,4252,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone",175
21617775,1180000,85718,-110.925516,32.294196,1.64,7669.26,2002,4,5,5006,3,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone, Wood",146
